last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-01-29 02:46:39  28515545358  1721154  0:30:00                  335250             3   16092000
2021-01-29 02:16:39  28515210108  1721151  0:20:03                   53787             2    3863006
2021-01-29 01:56:36  28515156321  1721149  1:49:58                 1436204            17   18806915
2021-01-29 00:06:38  28513720117  1721132  1:40:09                 1483217            16   21326335
2021-01-28 22:26:29  28512236900  1721116  0:19:52                  119754             4    8680155
2021-01-28 22:06:37  28512117146  1721112  2:00:07                 1613725            18   19345891
2021-01-28 20:06:30  28510503421  1721094  0:50:02                  658818            11   18961317
2021-01-28 19:16:28  28509844603  1721083  0:49:57                  486054             9   14012367
2021-01-28 18:26:31  28509358549  1721074  0:50:05                  947602            13   27245528
2021-01-28 17:36:26  28508410947  1721061  1:09:53                 1051824            15   21673645
2021-01-28 16:26:33  28507359123  1721046  2:40:01                 1686078            26   15173121
2021-01-28 13:46:32  28505673045  1721020  0:38:49                  607163             9   22524209
2021-01-28 13:07:43  28505065882  1721011  0:50:59                  686883             9   19400683
2021-01-28 12:16:44  28504378999  1721002  2:00:19                 1869933            26   22380137
2021-01-28 10:16:25  28502509066  1720976  0:49:48                  579077             7   16744395
2021-01-28 09:26:37  28501929989  1720969  0:39:56                  194311             5    7006874
2021-01-28 08:46:41  28501735678  1720964  0:20:03                  142392             4   10226657
2021-01-28 08:26:38  28501593286  1720960  0:30:06                  411352             5   19679298
2021-01-28 07:56:32  28501181934  1720955  0:49:17                  512179             8   14965257
2021-01-28 07:07:15  28500669755  1720947  4:40:47                 3656736            48   18753605
2021-01-28 02:26:28  28497013019  1720899  0:29:54                  298196             4   14361278
2021-01-28 01:56:34  28496714823  1720895  1:20:06                  920145            17   16541932
2021-01-28 00:36:28  28495794678  1720878  1:49:59                 1315183            20   17219550
2021-01-27 22:46:29  28494479495  1720858  0:30:01                  246539             3   11827301
2021-01-27 22:16:28  28494232956  1720855  2:09:51                 1523121            28   16890983
2021-01-27 20:06:37  28492709835  1720827  0:50:03                  439311             9   12639517
2021-01-27 19:16:34  28492270524  1720818  0:50:06                  412021            10   11842519
2021-01-27 18:26:28  28491858503  1720808  0:49:54                  975877            11   28161580
2021-01-27 17:36:34  28490882626  1720797  1:09:59                  983038            14   20227312
2021-01-27 16:26:35  28489899588  1720783  2:10:03                 1666864            19   18456625
2021-01-27 14:16:32  28488232724  1720764  1:00:01                 1070276            11   25679490
2021-01-27 13:16:31  28487162448  1720753  0:59:58                  490683            10   11782938
2021-01-27 12:16:33  28486671765  1720743  2:00:03                 2478570            28   29730452
2021-01-27 10:16:30  28484193195  1720715  0:30:06                   47839             3    2288643
2021-01-27 09:46:24  28484145356  1720712  1:29:57                 1559973            19   24973442
